"data_main2.TV_Contrib","pred","data_main2.date","daypart_A_model","daypart_B_model","daypart_C_model","daypart_D_model"
18300,18104.348182004,"5/12/2014",15919.9967767287,7066.48333595939,2194.04231736943,-7076.17424805358
21100,17116.5477382542,"5/19/2014",16054.2063528646,7185.58154759162,2029.26220334855,-8152.50236555056
10600,7150.54080009976,"5/26/2014",20.9404969067433,7255.97592908476,2308.98294327486,-2435.3585691666
5280,6106.07634813657,"6/2/2014",1.61650406010051e-06,5079.18315038172,1026.89320958987,-1.34515261696288e-05
2640,3555.42819797418,"6/9/2014",1.61650406010051e-06,3555.4282052896,4.51960582725009e-06,-1.34515261696288e-05
1320,2488.79973640969,"6/16/2014",1.61650406010051e-06,2488.79974372511,4.51960582725009e-06,-1.34515261696288e-05
660,1742.15981331455,"6/23/2014",1.61650406010051e-06,1742.15982062997,4.51960582725009e-06,-1.34515261696288e-05
330,1219.51186714795,"6/30/2014",1.61650406010051e-06,1219.51187446337,4.51960582725009e-06,-1.34515261696288e-05
11100,17982.9149669798,"7/7/2014",15396.7798298053,3092.70152454169,4.51960582725009e-06,-506.566391886771
16000,19379.4200806423,"7/14/2014",15158.9369601903,4403.93427959002,43.5995942347577,-227.05075337273
19500,20722.3414786938,"7/21/2014",15716.1610453506,5321.79720813262,65.6519584205561,-381.268733209963
20200,20678.6094811974,"7/28/2014",15289.0844436627,5964.3012581118,163.72830854163,-738.50452911874
21100,20184.6425103965,"8/4/2014",15555.8222638544,6414.05409309752,226.265850151448,-2011.49969670689
21500,22076.0851953853,"8/11/2014",15594.9646327883,6728.88107758719,328.84184555321,-576.602360543388
21500,20178.7074032852,"8/18/2014",15537.6245508762,6949.25996673038,385.917975469198,-2694.09508979052
23100,18911.0768668783,"8/25/2014",16081.6442343155,7103.5251891313,760.335662787813,-5034.42821935629
22800,21003.2262933994,"9/1/2014",15775.1643483584,7211.51084481195,645.439909396845,-2628.88880916772
23800,24223.4755984727,"9/8/2014",16101.6915171571,7287.1008037884,982.613279365925,-147.930001838761
24500,18160.8055343913,"9/15/2014",16143.5574300158,7340.01377507192,1083.12333589007,-6405.88900658653
24700,21839.5559182571,"9/22/2014",16124.2864187235,7377.05285497038,1147.15329111549,-2808.93664655236
24700,18976.5490855968,"9/29/2014",16098.6105073298,7402.9802108993,1313.61377003957,-5838.6554026719
24100,18799.215246009,"10/6/2014",15997.6027604212,7421.12936004954,1885.2728857345,-6504.78976019628
24600,24288.577570107,"10/13/2014",16141.4730382275,7433.83376445472,2123.92067785518,-1410.64991043043
25000,24049.4241209108,"10/20/2014",16163.8898202051,7442.72684753834,2331.65444938313,-1888.84699621574
24600,23465.765629384,"10/27/2014",16075.5135556743,7448.95200569688,2376.65863717936,-2435.3585691666
23600,17099.2900179598,"11/3/2014",15956.4097313641,7453.30961640785,2551.80418875766,-8862.23351856979
23100,16699.6752866264,"11/10/2014",15961.2214124915,7456.35994390554,2636.22114362661,-9354.12721339732
11500,8445.15685861805,"11/17/2014",1.61650406010051e-06,5219.45196075627,3225.70490969681,-1.34515261696288e-05
5770,3655.03571224796,"11/24/2014",1.41934862810989,3653.61637255178,4.51960582725009e-06,-1.34515261696288e-05
3040,3251.80472119955,"12/1/2014",694.273269322838,2557.53146080863,4.51960582725009e-06,-1.34515261696288e-05
1550,1941.04043184724,"12/8/2014",150.768418190725,1790.27202258843,4.51960582725009e-06,-1.34515261696288e-05
776,1253.97292319502,"12/15/2014",0.782516292650958,1253.19041583429,4.51960582725009e-06,-1.34515261696288e-05
388,877.23328379098,"12/22/2014",1.61650406010051e-06,877.233291106396,4.51960582725009e-06,-1.34515261696288e-05
194,614.063296481451,"12/29/2014",1.61650406010051e-06,614.063303796868,4.51960582725009e-06,-1.34515261696288e-05
12500,18021.316941379,"1/5/2015",16038.7161682709,2668.88752507779,4.51960582725009e-06,-686.28675648922
18600,17267.1558631804,"1/12/2015",16071.0473211512,4107.26447997449,127.224201311877,-3038.38013925722
21700,18319.8268236565,"1/19/2015",16076.6647536484,5114.12834840218,812.72999656669,-3683.69627496074
23200,18571.6713006539,"1/26/2015",16081.9473333731,5818.93305630156,1026.89320958987,-4356.10229861065
11600,6224.25720027861,"2/2/2015",0.0128578312437348,4981.92185938824,1256.77370705438,-14.4512239952575
18200,16101.7632414354,"2/9/2015",16091.5862064524,5726.3885139918,7.38830088113959,-5723.59977988998
21700,17733.4630563571,"2/16/2015",16139.3131331853,6247.5151722143,1739.69201070912,-6393.05725975162
23200,17654.6179315136,"2/23/2015",16100.1092222636,6612.30383297005,1981.50074836814,-7039.29587208821
11600,8469.58366373705,"3/2/2015",0.278622873940384,6517.29724975122,2217.23172479432,-265.223933682426
5820,6250.45797782113,"3/9/2015",0.537636705352379,6563.60231496535,127.224201311877,-440.906175161445
2920,6195.72083537393,"3/16/2015",0.997362853429682,6674.02603359653,206.984195413187,-686.28675648922
9720,16448.3633680847,"3/23/2015",14945.9706954062,6910.86143571068,315.131016857864,-5723.59977988998
13100,17439.6469986387,"3/30/2015",15016.3660304133,7076.64621726795,1739.69201070912,-6393.05725975162
16300,17670.2677082178,"4/6/2015",15535.3672675289,7192.69556440903,1981.50074836814,-7039.29587208821
8140,7184.4695068491,"4/13/2015",159.679691860477,7242.91665936091,2217.23172479432,-2435.3585691666
4080,5290.22692829131,"4/20/2015",13.117936974934,7288.59592098372,1026.89320958987,-3038.38013925722
2050,4920.70768637576,"4/27/2015",20.0949379370691,7327.53531634505,1256.77370705438,-3683.69627496074
12900,15200.0943597799,"5/4/2015",16066.2981477078,7368.31793386157,1496.33675020856,-9730.85847199803
18400,16684.6519544371,"5/11/2015",16072.1985901019,7396.86576612314,3362.98155818881,-10147.3939599768
21000,26689.5550306544,"5/18/2015",15806.4562677508,7416.84924870598,3501.26221394073,-35.0126997431643
10500,5199.18276316269,"5/25/2015",1.61650406010051e-06,5191.79447411657,7.38830088113959,-1.34515261696288e-05
5260,3634.25612458858,"6/1/2015",1.61650406010051e-06,3634.25613190399,4.51960582725009e-06,-1.34515261696288e-05
2630,2543.97928503977,"6/8/2015",1.61650406010051e-06,2543.97929235518,4.51960582725009e-06,-1.34515261696288e-05
12000,19409.210166031,"6/15/2015",15465.0292038156,4019.82871706865,4.51960582725009e-06,-75.6477593728342
16700,20483.5228588238,"6/22/2015",15506.1124671608,5052.92331436809,72.417079133624,-147.930001838761
19000,21182.9229984504,"6/29/2015",15544.8331983433,5776.08953247769,127.224201311877,-265.223933682426
9500,5688.65651777006,"7/6/2015",0.735773209647791,5556.58430852006,206.984195413187,-75.6477593728342
4760,5511.16475729105,"7/13/2015",2.22721553728269,5619.15503639354,37.712507198989,-147.930001838761
2390,5632.88899714042,"7/20/2015",3.60275954156922,5822.09309214766,72.417079133624,-265.223933682426
13000,18076.7284002079,"7/27/2015",15991.0981205833,6314.5083769234,127.224201311877,-4356.10229861065
18200,18389.7289706205,"8/3/2015",15958.4493059397,6659.19907626642,812.72999656669,-5040.64940815233
20200,18051.5110952005,"8/10/2015",15847.7350996941,6900.48256580653,1026.89320958987,-5723.59977988998
10100,6847.83028342163,"8/17/2015",3.07820606329378,6998.62828073439,1256.77370705438,-1410.64991043043
5060,5827.41117798272,"8/24/2015",5.14336992739084,7091.19639949801,619.918404773055,-1888.84699621574
